Date,Year,Distance,Standard Distance?,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links
26/11/2023,2023,3b 10km,Yes,Nowa Huta w Czterech Smakach - Jesien,Kacper Suchora,M,POL,00:52:35,?,https://utm.run/wp-content/uploads/2023/11/2023_nh4s_jesien_10.pdf
26/11/2023,2023,3b 12km,No,"Navisink Challenge, New Jersey",Karly Swaim,F,USA,01:15:23,1,
26/11/2023,2023,3b Half Marathon,Yes,Edinburgh Mo Run,James McDiarmid,M,GBR,01:39:56,0,
25/11/2023,2023,3b 5km,Yes,Meadowmill Parkrun,Scott Jenkins,M,GBR,00:21:00,0,https://www.strava.com/activities/10277539916
24/11/2023,2023,3b 5 Mile,No,"Born to Run 5 Mile Race, New Jersey",Karly Swaim,F,USA,00:47:42,0,
23/11/2023,2023,3b 5 Mile,No,Turkey Trot - FDL,Samuel Dean,M,USA,00:31:20,0,https://www.strava.com/activities/10268547704
23/11/2023,2023,3b 10km,Yes,"Turkey Trot - Newport, PA",Tim Ebersole,M,USA,00:44:44,?,
23/11/2023,2023,3c 5 Mile,No,Turkey Trot - Thundercloud,John Handy Bosma,M,USA,01:23:05,?,
23/11/2023,2023,3b 5 Mile,No,Turkey Trot - Thundercloud,Kalia Handy Bosma,F,USA,01:23:04,?,
23/11/2023,2023,3b 5 Mile,No,"Turkey Tory - Lifetime, Chicago",Perry Romanowski,M,USA,00:40:51,?,
19/11/2023,2023,3b 10km,Yes,"Fat Ass Trail Race, Ontario",Michal Kapral,M,CAN,00:56:46,6,
19/11/2023,2023,5b 10km,Yes,Time Trial,Stefan Nygard,M,SWE,01:05:41,?,https://www.strava.com/activities/10246053281
18/11/2023,2023,3b 5km,Yes,Edinburgh Parkrun,James McDiarmid,M,GBR,00:19:20,0,https://www.parkrun.org.uk/edinburgh/results/651/
18/11/2023,2023,3b 5km,Yes,Parkrun Mylnowka Krolewska,Kacper Suchora,M,POL,00:25:01,?,https://www.parkrun.pl/mlynowkakrolewska/results/8
12/11/2023,2023,3b Marathon,Yes,Madison Marathon,Samuel Dean,M,USA,03:42:39,14,https://www.strava.com/activities/10207532452
12/11/2023,2023,3b Marathon,Yes,Pierrepoint Plod,Tim Butler,M,GBR,04:38:02,?,https://www.joggling.co.uk/Marathon-List
11/11/2023,2023,3b 5km,Yes,Parkrun Mylnowka Krolewska,Kacper Suchora,M,POL,00:25:49,?,https://www.parkrun.pl/mlynowkakrolewska/results/7
11/11/2023,2023,3b 5km,Yes,Edinburgh Parkrun,James McDiarmid,M,GBR,00:19:30,3,https://www.parkrun.org.uk/edinburgh/results/650/
11/11/2023,2023,3b Half Marathon,Yes,"Richmond Half Marathon, VA",Jonathan Austin,M,USA,01:51:26,?,https://runsignup.com/Race/Results/53399/IndividualResult/bfNJ?resultSetId=425038#U82282467
11/11/2023,2023,5b Marathon,Yes,"Richmon Marathon, VA",Barry Goldmeier,M,USA,06:58:01,?,
11/11/2023,2023,3b 5km,Yes,Whitekirk Hill Parkrun,Scott Jenkins,M,GBR,00:24:10,1,https://www.strava.com/activities/10201641671
11/11/2023,2023,3b 5km,Yes,Cliffe Castle Parkrun,Jake Lodge,M,GBR,00:22:39,?,https://www.strava.com/activities/10197880347  https://www.parkrun.org.uk/cliffecastle/results/198/
06/11/2023,2023,3b 15km,No,Istanbul Marathon,Levent Denizci,M,TUR,01:23:07,1,https://www.instagram.com/reel/CzSprRmIVAO/
05/11/2023,2023,5b Marathon,Yes,New York City Marathon,Barry Goldmeier,M,USA,06:54:28,?,
05/11/2023,2023,3b Marathon,Yes,New York City Marathon,Jack Hirschowitz,M,USA,05:10:39,?,
04/11/2023,2023,3b 5km,Yes,Brighton & Hove Parkrun,Scott Jenkins,M,GBR,00:23:53,0,https://www.strava.com/activities/10162658912
04/11/2023,2023,3b 5km,Yes,Tremorfa Parkrun,Derrick Adams,M,GBR,00:27:49,?,https://www.parkrun.org.uk/tremorfa/news/2023/11/04/the-one-with-the-juggler/   https://www.facebook.com/reel/1117103175936729   https://www.parkrun.org.uk/tremorfa/results/125/
29/10/2023,2023,3b 4 Mile,No,JSRC Deal Trick or Trot,Karly Swaim,F,USA,00:38:06,?,With lemons!
28/10/2023,2023,3b 5km,Yes,Holyrood Parkrun,Scott Jenkins,M,GBR,00:25:21,0,https://www.parkrun.org.uk/holyrood/results/62/
28/10/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:20:30,2,https://www.parkrun.org.uk/holyrood/results/62/
22/10/2023,2023,3b Marathon,Yes,Abingdon Marathon,Scott Jenkins,M,GBR,04:23:12,1,https://www.strava.com/activities/10084587222
22/10/2023,2023,3b 10km,Yes,Mens 10km Edinburgh,James McDiarmid,M,GBR,00:39:57,0,https://www.myrunning.uk/mens-10k-edinburgh/results-stats?entry_id=1433665&race_number=10355&people_id=701492
22/10/2023,2023,3b Marathon,Yes,Monster Mash Marathon,Tim Butler,M,GBR,04:39:22,?,https://www.strava.com/activities/10084951644
21/10/2023,2023,3b 5km,Yes,Morecambe Prom Parkrun,Nick Burns,M,GBR,00:34:11,?,https://www.parkrun.org.uk/morecambeprom/results/163
16/10/2023,2023,3b 10km,Yes,Bospho Run,Levent Denizci,M,TUR,00:52:10,?,https://www.instagram.com/reel/Cyc1DdXADLa/
15/10/2023,2023,3b Marathon,Yes,Toronto Waterfront Marathon,Michael-Lucien Bergeron,M,CAN,03:00:06,?,https://www.strava.com/activities/10044512008
15/10/2023,2023,3b Marathon,Yes,Yorkshire Marathon,Chris Edwin,M,GBR,03:00:06,1,https://www.strava.com/activities/10042614562/
15/10/2023,2023,5b 5km,Yes,Time Trial,Stefan Nygard,M,SWE,00:32:50,?,https://www.strava.com/activities/10040574029
08/10/2023,2023,3b Half Marathon,Yes,Burnham Half Marathon,Scott Jenkins,M,GBR,01:56:36,0,https://www.facebook.com/photo?fbid=170412179447395&set=pcb.170412272780719 https://www.strava.com/activities/9999632050 https://www.burnham-on-sea.com/news/burnham-on-sea-half-marathon-2023-photos-full-results-and-video/ https://www.burnham-on-sea.com/news/video-runner-juggles-for-two-hours-while-running-burnham-on-sea-half-marathon/
08/10/2023,2023,3b Marathon,Yes,Chicago Marathon,Barry Goldmeier,M,USA,06:25:32,?,https://uk.news.yahoo.com/joggler-completes-chicago-marathon-while-224404208.html?guccounter=1
07/10/2023,2023,3b 5km,Yes,Burnham and Highbridge Parkrun,Scott Jenkins,M,GBR,00:29:02,1,"https://www.strava.com/activities/9991966505
https://www.parkrun.org.uk/burnhamandhighbridge/results/359/"
07/10/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Jake Lodge,M,GBR,00:20:37,3,https://www.strava.com/activities/9993036091  https://www.parkrun.org.uk/robertspark/results/100/
05/10/2023,2023,3b 5km,Yes,I Ty Możesz Biegać Wieczorem #563,Kacper Suchora,M,POL,00:31:36,?,https://itmbw.pl/itmbwieczorem-wyniki?id=563
03/10/2023,2023,3b 5km,Yes,Volksgarten Parkrun,Scott Jenkins,M,GBR,00:20:48,0,"https://www.strava.com/activities/9967168716 https://www.facebook.com/reel/1350475955583730
https://www.parkrun.com.de/volksgarten/results/146/"
01/10/2023,2023,3b Mile,Yes,Time Trial,Chris Edwin,M,GBR,00:05:29,?,https://www.strava.com/activities/9956880609
01/10/2023,2023,3b 5km,Yes,Time Trial,Chris Edwin,M,GBR,00:18:21,?,https://www.strava.com/activities/9956880609
01/10/2023,2023,3b Marathon,Yes,Loch Ness Marathon,James McDiarmid,M,GBR,03:35:25,15,https://sportmaniacs.com/en/races/loch-ness-marathon-and-festival-of-running-2023/6519b142-5b68-4e22-930c-4560ac1f1ad9/results/athlete/2267/results
30/09/2023,2023,3b 5km,Yes,Torvean Parkrun,James McDiarmid,M,GBR,00:19:57,?,https://www.facebook.com/torveanparkrun/videos/695705485378377  https://www.parkrun.org.uk/torvean/results/105/
30/09/2023,2023,3b 5km,Yes,Plean Parkrun,Scott Jenkins,M,GBR,00:24:40,1,https://www.parkrun.org.uk/plean/results/223/  https://www.strava.com/activities/9947669351  https://www.parkrun.org.uk/plean/news/2023/09/30/juggling-milestones/
24/09/2023,2023,3b Half Marathon,Yes,Badger Challenge,Samuel Dean,M,USA,01:28:08,4,https://www.strava.com/activities/9912752839
24/09/2023,2023,3c 10km,Yes,Chester Zoo,JL Coldham,M,GBR,01:07:07,?,https://www.strava.com/activities/9909388387
24/09/2023,2023,3b Marathon,Yes,Bedford Aerodrome,Tim Butler,M,GBR,04:07:53,?,https://results.runthrough.co.uk/myresults.aspx?uid=16487-4971-6-3584757
24/09/2023,2023,3b Half Marathon,Yes,Scottish Half Marathon,James McDiarmid,M,GBR,01:33:28,0,https://www.scottishhalfmarathon.com/results
24/09/2023,2023,3b 10km,Yes,Chester Zoo,EJ Coldham,F,GBR,00:58:23,?,https://www.strava.com/activities/9909298131
23/09/2023,2023,3b 5km,Yes,Penallta Parkrun,Scott Jenkins,M,GBR,00:22:38,2,https://www.parkrun.org.uk/penallta/results/346/
17/09/2023,2023,3b 10km,Yes,Tübingen Heritage Run,Peter Rottenbach,M,DEU,01:01:15,?,https://my.raceresult.com/248587/#0_128718 
16/09/2023,2023,3b 5km,Yes,Coed Cefn-pwll-du Parkrun,Scott Jenkins,M,GBR,00:23:59,0,https://www.facebook.com/100070150012167/videos/3833914350163308  https://www.parkrun.org.uk/coedcefnpwlldu/results/103/
16/09/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:19:53,?,https://www.parkrun.org.uk/holyrood/results/56/
10/09/2023,2023,3b Half Marathon,Yes,Harrisburg Half Marathon,Tim Ebersole,M,USA,01:42:57,?,https://www.strava.com/activities/9821889643  https://runsignup.com/Race/Results/15430
09/09/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:20:01,0,https://www.parkrun.org.uk/holyrood/results/55/
09/09/2023,2023,4b 5km,No,Zuiderpark Parkrun,Scott Jenkins,M,GBR,00:37:32,50,https://www.facebook.com/reel/326772983079041  https://www.parkrun.co.nl/zuiderpark/results/95/  https://twitter.com/OonaghLewis/status/1700803926184911241?t=9Nu6QfJj-yCyN6Y2r3IbIA&s=19&fbclid=IwAR3C7MyJ8eWmpR_NLBeN_CmoOCdB-3nm4o3TKAWOvw4zOLdlvzax6GFUanU
02/09/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:19:39,0,https://www.parkrun.org.uk/holyrood/results/54/
26/08/2023,2023,3b 5km,Yes,Vogrie Parkrun,Scott Jenkins,M,GBR,00:23:09,0,https://www.strava.com/activities/9722797495  https://www.parkrun.org.uk/vogrie/results/245/
26/08/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Jake Lodge,M,GBR,00:20:11,2,https://www.parkrun.org.uk/robertspark/results/95/  https://www.strava.com/activities/9722525613
26/08/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:19:43,?,https://twitter.com/BobakChampion/status/1695403676653764661?t=V1talFM3LhClas5Hx3vH-w&s=19
26/08/2023,2023,3c 5km,Yes,Jersey Shore Womens 5km,Karly Swaim,F,USA,00:34:29,?,https://runsignup.com/Race/Results/21839#resultSetId-400750;perpage:100  https://www.facebook.com/photo/?fbid=10108409452955774&set=g.372157942956062
22/08/2023,2023,3b 10km,Yes,Time Trial,David Tate,M,USA,00:59:43,?,https://twitter.com/dren_braves/status/1693825675399168506/photo/1
19/08/2023,2023,4b 5km,No,Perth Parkrun,Scott Jenkins,M,GBR,00:37:39,40,"https://www.parkrun.org.uk/perth/results/438/
https://www.strava.com/activities/9677761242
"
19/08/2023,2023,3b 5km,Yes,Torvean Parkrun,James McDiarmid,M,GBR,00:20:19,0,https://www.parkrun.org.uk/torvean/results/99/?utm_medium=email&utm_source=resultsemail&utm_campaign=systememail
19/08/2023,2023,3b 5km,Yes,Huddersfield Parkrun,Jake Lodge,M,GBR,00:21:58,2,https://www.strava.com/activities/9677079696 https://www.parkrun.org.uk/huddersfield/results/547/
19/08/2023,2023,3b 50km,Yes,Foxton Hounds Ultra,Tim Butler,M,GBR,06:47:47,?,https://www.joggling.co.uk/Marathon-List https://my.raceresult.com/257436/results  https://www.strava.com/activities/9679189803
19/08/2023,2023,3b 5km,Yes,Ogrod Saski Parkrun,Kacper Suchora,M,POL,00:33:36,?,https://www.parkrun.pl/ogrodsaski/results/143/
15/08/2023,2023,3b 5km,Yes,Time Trial,Samuel Dean,M,USA,00:18:04,?,https://www.strava.com/activities/9655725241
14/08/2023,2023,3b Mile,Yes,Time Trial,Samuel Dean,M,USA,00:04:58,?,https://www.strava.com/activities/9648987682
14/08/2023,2023,3b Mile,Yes,Time Trial,Caleb Williams,M,USA,00:04:36,0,https://www.youtube.com/watch?v=ubG4stsEwPw
12/08/2023,2023,4b 5km,No,West Links Parkrun,Scott Jenkins,M,GBR,00:32:36,30,https://www.strava.com/activities/9631204125  https://www.parkrun.org.uk/westlinks/news/2023/08/18/a-lesson-in-solidarity-west-links-parkrun-no-82/
12/08/2023,2023,3b 5km,Yes,Penistone Parkrun,Jake Lodge,M,GBR,00:21:21,?,https://www.parkrun.org.uk/penistone/results/132/ https://www.strava.com/activities/9631463241
12/08/2023,2023,3b Marathon,Yes,Boulder Rez Marathon,Erick Sells,M,USA,03:32:10,?,https://my.raceresult.com/256528/#11_EA305B  https://www.strava.com/activities/9635073806/overview
08/08/2023,2023,3b Mile,Yes,Ramsbottom Summer Mile,Jake Lodge,M,GBR,00:05:55,0,https://www.strava.com/activities/9609299484
05/08/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:20:28,0,https://www.parkrun.org.uk/parkrunner/8560660/
05/08/2023,2023,3b 5km,Yes,Newbiggin-by-the-Sea Parkrun,Scott Jenkins,M,GBR,00:24:48,2,"https://www.parkrun.org.uk/newbigginbythesea/results/234/
https://www.strava.com/activities/9585830232"
05/08/2023,2023,3b 5km,Yes,The Pastures Parkrun,Jake Lodge,M,GBR,00:21:08,1,https://www.strava.com/activities/9585611785
05/08/2023,2023,3b 5km,Yes,Woodley Parkrun,Stuart Humphries,M,GBR,00:28:03,?,https://www.parkrun.org.uk/woodley/results/489/
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Juliane de Vries,F,DEU,00:31:25,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Fabian Fehlhaber,M,DEU,00:22:55,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Nicolas Fuchs,M,DEU,00:26:20,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Tilman Kortenhaus,M,DEU,00:29:04,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Peter Rottenbach,M,DEU,00:29:14,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Nils Berg,M,DEU,00:30:46,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Elias Loehr,M,DEU,00:31:20,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Martin Bartsch,M,DEU,00:35:44,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Liya Bakhrakh,F,ISR,00:36:26,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Eden Katsir,M,IRL,00:21:24,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Piotr Maciejewski,M,POL,00:22:14,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Anton Bartsch,M,DEU,00:39:27,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Jarek Widomski,M,POL,00:24:22,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Rimon Cahany,M,ISR,00:24:33,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Kaudo Pilder,M,EST,00:24:55,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Vaclav Peca,M,CZE,00:25:02,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Scott Seltzer,M,ISR,00:25:33,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Emanuele Lodigiani,M,ITA,00:26:15,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Iunya Inoue,M,JPN,00:30:16,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
30/07/2023,2023,3b 5km,Yes,EJC Joggling Open,Ting-En Chang,M,TWN,00:33:59,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
29/07/2023,2023,4b 5km,No,Lochore Meadows Parkrun,Scott Jenkins,M,GBR,00:42:52,50,"https://www.strava.com/activities/9541834029
https://www.parkrun.org.uk/lochoremeadows/results/183/
"
29/07/2023,2023,3b 5km,Yes,Huddersfield Parkrun,Jake Lodge,M,GBR,00:21:00,3,"https://www.parkrun.org.uk/huddersfield/results/545/
https://www.strava.com/activities/9541633115"
29/07/2023,2023,3b 5km,Yes,Krakow Parkrun,Kacper Suchora,M,POL,00:35:19,?,https://www.instagram.com/p/CvSjtfIIDmt/  https://www.parkrun.pl/krakow/results/471/
29/07/2023,2023,3b 5km,Yes,Saski Garden Parkrun,Piotr Maciejewski,M,POL,00:23:29,2,https://www.instagram.com/p/CvTzairoUBX/?img_index=1 https://www.parkrun.pl/ogrodsaski/results/140/  
29/07/2023,2023,3b 5km,Yes,Morecambe Prom Parkrun,Nick Burns,M,GBR,00:34:45,?,https://www.parkrun.org.uk/morecambeprom/results/152
27/07/2023,2023,3b Mile,Yes,Time Trial,Rick Kwiatkowski,M,USA,00:07:48,?,https://www.strava.com/activities/9534592553
26/07/2023,2023,3b Marathon,Yes,Great Barrow Challenge Day 5,Tim Butler,M,GBR,04:41:09,?,https://www.joggling.co.uk/Marathon-List
24/07/2023,2023,3b 5km,Yes,"Deseret News Marathon 5k, Utah",David Tate,M,USA,00:26:26,0,https://twitter.com/dren_braves/status/1683494655470518278?t=ctWFUgmkvj__L-g09rS9MA&s=19      https://www.brooksee.com/des/results?sort=&race=167024&date=&event=5K&gender=&division=&search=Tate&loc_168380=&page_168380=1&size_168380=25&loc_168381=&page_168381=1&size_168381=25&loc_168382=&page_168382=1&size_168382=25&loc_168383=&page_168383=1&size_168383=25&loc_168384=&page_168384=1&size_168384=25
22/07/2023,2023,3b 5km,Yes,Holyrood Parkrun ,James McDiarmid,M,GBR,00:20:11,0,https://www.parkrun.org.uk/holyrood/results/48/?utm_medium=email&utm_source=resultsemail&utm_campaign=systememail
22/07/2023,2023,3b 5km,Yes,Jubilee Parkrun,Scott Jenkins,M,GBR,00:28:06,0,https://www.strava.com/activities/9498231178  https://www.parkrun.org.uk/jubilee/results/110/
22/07/2023,2023,3b 5km,Yes,Aberystwyth Parkrun,Derrick Adams,M,GBR,00:26:16,?,https://www.parkrun.org.uk/aberystwyth/results/497/ Reports of Derrick joggling on Facebook this week
16/07/2023,2023,3b Half Marathon,Yes,Ilkley Half Marathon,Chris Edwin,M,GBR,01:22:18,0,https://www.sportstimingsolutions.co.uk/rd.php?id=484
16/07/2023,2023,3b Half Marathon,Yes,Ilkley Half Marathon,Scott Jenkins,M,GBR,01:44:28,0,https://www.sportstimingsolutions.co.uk/rd.php?id=484
15/07/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Chris Edwin,M,GBR,00:24:40,0,https://www.parkrun.org.uk/robertspark/results/89/ https://www.strava.com/activities/9453836097
15/07/2023,2023,3b 5km,Yes,Roberts Park Parkrun,Scott Jenkins,M,GBR,00:24:39,2,https://www.parkrun.org.uk/robertspark/results/89/ https://www.strava.com/activities/9454347891
15/07/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:21:09,2,
15/07/2023,2023,3b 5km,Yes,Huddersfield Parkrun,Jake Lodge,M,GBR,00:22:12,4,https://www.parkrun.org.uk/huddersfield/results/543/ https://www.strava.com/activities/9454005319
10/07/2023,2023,3b Mile,Yes,Time Trial,Tim Ebersole,M,USA,00:06:11,?,https://www.strava.com/activities/9426849905
08/07/2023,2023,3b 5km,Yes,St Andrews Parkrun,Scott Jenkins,M,GBR,00:22:19,0,https://www.parkrun.org.uk/standrews/results/489/
08/07/2023,2023,3b 5km,Yes,Stamford Park Parkrun,Jake Lodge,M,GBR,00:21:38,?,https://www.parkrun.org.uk/stamfordpark/results/341/  https://www.strava.com/activities/9409921616
07/07/2023,2023,3b 10km,Yes,"SoJo Glow Run, South Jordan, Utah",David Tate,M,USA,00:59:59,?,https://twitter.com/dren_braves/status/1677692169803673600
01/07/2023,2023,3b 5km,Yes,Polkemmet Country Parkrun,Scott Jenkins,M,GBR,00:23:18,0,https://www.parkrun.org.uk/polkemmetcountry/results/137/
01/07/2023,2023,3b 5km,Yes,FSM China 5k,Dana Lee Ling,M,FSM,00:56:57,1,https://www.strava.com/activities/9364589789 https://www.facebook.com/100091873519711/posts/pfbid02xXwXYu6tfDkMg1nxegsv8UwobrTHehg6BjDce9DrsEsebX9qbjhPtWRQ9S2ZL9H4l/?app=fbl 
24/06/2023,2023,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:21:38,?,https://www.parkrun.org.uk/holyrood/results/44/
18/06/2023,2023,3b 50km,Yes,Trackathon,Tim Butler,M,GBR,05:58:05,?,https://www.joggling.co.uk/Marathon-List
17/06/2023,2023,3b 5km,Yes,Milano Nord Parkrun,Scott Jenkins,M,GBR,00:28:57,0,https://www.strava.com/activities/9280386127  https://www.parkrun.it/milanonord/results/271/
