100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
10.98,12.60,22.32,35.52,50.04,54.02,42.40,1:28.93,3:22.36,1204
,12.61,22.33,35.54,50.07,54.05,42.42,1:28.98,3:22.48,1203
10.99,12.62,22.34,35.56,50.09,54.08,42.44,1:29.03,3:22.59,1202
,,22.35,35.57,50.12,54.11,42.47,1:29.08,3:22.71,1201
11.00,12.63,22.36,35.59,50.14,54.14,42.49,1:29.14,3:22.82,1200
,12.64,22.37,35.61,50.17,54.17,42.51,1:29.19,3:22.94,1199
11.01,12.65,22.38,35.63,50.19,54.21,42.54,1:29.24,3:23.05,1198
,,22.39,35.64,50.22,54.24,42.56,1:29.29,3:23.17,1197
,12.66,22.40,35.66,50.24,54.27,42.58,1:29.34,3:23.28,1196
11.02,12.67,22.41,35.68,50.27,54.30,42.61,1:29.39,3:23.40,1195
,,22.42,35.69,50.29,54.33,42.63,1:29.44,3:23.52,1194
11.03,12.68,22.43,35.71,50.32,54.36,42.65,1:29.49,3:23.63,1193
,12.69,22.44,35.73,50.34,54.40,42.67,1:29.55,3:23.75,1192
11.04,12.70,22.45,35.75,50.37,54.43,42.70,1:29.60,3:23.86,1191
,,22.46,35.76,50.39,54.46,42.72,1:29.65,3:23.98,1190
11.05,12.71,22.47,35.78,50.42,54.49,42.74,1:29.70,3:24.10,1189
,12.72,22.48,35.80,50.44,54.52,42.77,1:29.75,3:24.21,1188
11.06,12.73,22.49,35.82,50.47,54.55,42.79,1:29.80,3:24.33,1187
,,22.50,35.83,50.49,54.59,42.81,1:29.85,3:24.44,1186
11.07,12.74,,35.85,50.52,54.62,42.84,1:29.91,3:24.56,1185
,12.75,22.51,35.87,50.54,54.65,42.86,1:29.96,3:24.68,1184
,,22.52,35.89,50.57,54.68,42.88,1:30.01,3:24.79,1183
11.08,12.76,22.53,35.90,50.60,54.71,42.91,1:30.06,3:24.91,1182
,12.77,22.54,35.92,50.62,54.75,42.93,1:30.11,3:25.03,1181
11.09,12.78,22.55,35.94,50.65,54.78,42.95,1:30.16,3:25.14,1180
,,22.56,35.95,50.67,54.81,42.98,1:30.22,3:25.26,1179
11.10,12.79,22.57,35.97,50.70,54.84,43.00,1:30.27,3:25.38,1178
,12.80,22.58,35.99,50.72,54.87,43.02,1:30.32,3:25.49,1177
11.11,12.81,22.59,36.01,50.75,54.91,43.05,1:30.37,3:25.61,1176
,,22.60,36.02,50.77,54.94,43.07,1:30.42,3:25.72,1175
11.12,12.82,22.61,36.04,50.80,54.97,43.09,1:30.47,3:25.84,1174
,12.83,22.62,36.06,50.82,55.00,43.12,1:30.53,3:25.96,1173
11.13,,22.63,36.08,50.85,55.03,43.14,1:30.58,3:26.08,1172
,12.84,22.64,36.09,50.87,55.07,43.16,1:30.63,3:26.19,1171
,12.85,22.65,36.11,50.90,55.10,43.19,1:30.68,3:26.31,1170
11.14,12.86,22.66,36.13,50.92,55.13,43.21,1:30.73,3:26.43,1169
,,22.67,36.15,50.95,55.16,43.23,1:30.79,3:26.54,1168
11.15,12.87,22.68,36.16,50.97,55.19,43.26,1:30.84,3:26.66,1167
,12.88,22.69,36.18,51.00,55.23,43.28,1:30.89,3:26.78,1166
11.16,12.89,22.70,36.20,51.02,55.26,43.30,1:30.94,3:26.89,1165
,,22.71,36.22,51.05,55.29,43.33,1:30.99,3:27.01,1164
11.17,12.90,22.72,36.23,51.07,55.32,43.35,1:31.04,3:27.13,1163
,12.91,22.73,36.25,51.10,55.35,43.38,1:31.10,3:27.25,1162
11.18,12.92,22.74,36.27,51.13,55.39,43.40,1:31.15,3:27.36,1161
,,22.75,36.29,51.15,55.42,43.42,1:31.20,3:27.48,1160
11.19,12.93,22.76,36.30,51.18,55.45,43.45,1:31.25,3:27.60,1159
,12.94,22.77,36.32,51.20,55.48,43.47,1:31.31,3:27.72,1158
11.20,,22.78,36.34,51.23,55.51,43.49,1:31.36,3:27.83,1157
,12.95,22.79,36.36,51.25,55.55,43.52,1:31.41,3:27.95,1156
,12.96,22.80,36.37,51.28,55.58,43.54,1:31.46,3:28.07,1155
11.21,12.97,22.81,36.39,51.30,55.61,43.56,1:31.51,3:28.19,1154
,,22.82,36.41,51.33,55.64,43.59,1:31.57,3:28.30,1153
11.22,12.98,22.83,36.43,51.35,55.68,43.61,1:31.62,3:28.42,1152
,12.99,22.84,36.45,51.38,55.71,43.63,1:31.67,3:28.54,1151
11.23,13.00,22.85,36.46,51.40,55.74,43.66,1:31.72,3:28.66,1150
,,22.86,36.48,51.43,55.77,43.68,1:31.78,3:28.78,1149
11.24,13.01,22.87,36.50,51.46,55.80,43.71,1:31.83,3:28.89,1148
,13.02,22.88,36.52,51.48,55.84,43.73,1:31.88,3:29.01,1147
11.25,13.03,22.89,36.53,51.51,55.87,43.75,1:31.93,3:29.13,1146
,,22.90,36.55,51.53,55.90,43.78,1:31.98,3:29.25,1145
11.26,13.04,22.91,36.57,51.56,55.93,43.80,1:32.04,3:29.37,1144
,13.05,22.92,36.59,51.58,55.97,43.82,1:32.09,3:29.49,1143
11.27,13.06,22.93,36.60,51.61,56.00,43.85,1:32.14,3:29.60,1142
,,22.94,36.62,51.63,56.03,43.87,1:32.19,3:29.72,1141
,13.07,22.95,36.64,51.66,56.06,43.89,1:32.25,3:29.84,1140
11.28,13.08,22.96,36.66,51.69,56.10,43.92,1:32.30,3:29.96,1139
,13.09,22.97,36.67,51.71,56.13,43.94,1:32.35,3:30.08,1138
11.29,,22.98,36.69,51.74,56.16,43.97,1:32.40,3:30.20,1137
,13.10,22.99,36.71,51.76,56.19,43.99,1:32.46,3:30.32,1136
11.30,13.11,23.00,36.73,51.79,56.23,44.01,1:32.51,3:30.43,1135
,13.12,23.01,36.75,51.81,56.26,44.04,1:32.56,3:30.55,1134
11.31,,,36.76,51.84,56.29,44.06,1:32.62,3:30.67,1133
,13.13,23.02,36.78,51.86,56.32,44.08,1:32.67,3:30.79,1132
11.32,13.14,23.03,36.80,51.89,56.36,44.11,1:32.72,3:30.91,1131
,13.15,23.04,36.82,51.92,56.39,44.13,1:32.77,3:31.03,1130
11.33,,23.05,36.83,51.94,56.42,44.16,1:32.83,3:31.15,1129
,13.16,23.06,36.85,51.97,56.45,44.18,1:32.88,3:31.27,1128
11.34,13.17,23.07,36.87,51.99,56.49,44.20,1:32.93,3:31.39,1127
,,23.08,36.89,52.02,56.52,44.23,1:32.98,3:31.50,1126
11.35,13.18,23.09,36.91,52.04,56.55,44.25,1:33.04,3:31.62,1125
,13.19,23.10,36.92,52.07,56.58,44.28,1:33.09,3:31.74,1124
11.36,13.20,23.11,36.94,52.10,56.62,44.30,1:33.14,3:31.86,1123
,,23.12,36.96,52.12,56.65,44.32,1:33.20,3:31.98,1122
,13.21,23.13,36.98,52.15,56.68,44.35,1:33.25,3:32.10,1121
11.37,13.22,23.14,36.99,52.17,56.71,44.37,1:33.30,3:32.22,1120
,13.23,23.15,37.01,52.20,56.75,44.40,1:33.35,3:32.34,1119
11.38,,23.16,37.03,52.23,56.78,44.42,1:33.41,3:32.46,1118
,13.24,23.17,37.05,52.25,56.81,44.44,1:33.46,3:32.58,1117
11.39,13.25,23.18,37.07,52.28,56.85,44.47,1:33.51,3:32.70,1116
,13.26,23.19,37.08,52.30,56.88,44.49,1:33.57,3:32.82,1115
11.40,,23.20,37.10,52.33,56.91,44.52,1:33.62,3:32.94,1114
,13.27,23.21,37.12,52.35,56.94,44.54,1:33.67,3:33.06,1113
11.41,13.28,23.22,37.14,52.38,56.98,44.56,1:33.73,3:33.18,1112
,13.29,23.23,37.16,52.41,57.01,44.59,1:33.78,3:33.30,1111
11.42,,23.24,37.17,52.43,57.04,44.61,1:33.83,3:33.42,1110
,13.30,23.25,37.19,52.46,57.08,44.64,1:33.89,3:33.54,1109
11.43,13.31,23.26,37.21,52.48,57.11,44.66,1:33.94,3:33.66,1108
,13.32,23.27,37.23,52.51,57.14,44.68,1:33.99,3:33.78,1107
11.44,,23.28,37.25,52.54,57.17,44.71,1:34.05,3:33.90,1106
,13.33,23.29,37.26,52.56,57.21,44.73,1:34.10,3:34.02,1105
11.45,13.34,23.30,37.28,52.59,57.24,44.76,1:34.15,3:34.14,1104
,13.35,23.31,37.30,52.61,57.27,44.78,1:34.21,3:34.26,1103
11.46,13.36,23.32,37.32,52.64,57.31,44.80,1:34.26,3:34.38,1102
,,23.33,37.34,52.67,57.34,44.83,1:34.31,3:34.50,1101
,13.37,23.34,37.35,52.69,57.37,44.85,1:34.37,3:34.62,1100
11.47,13.38,23.35,37.37,52.72,57.41,44.88,1:34.42,3:34.74,1099
,13.39,23.36,37.39,52.74,57.44,44.90,1:34.47,3:34.86,1098
11.48,,23.37,37.41,52.77,57.47,44.92,1:34.53,3:34.98,1097
,13.40,23.39,37.43,52.80,57.50,44.95,1:34.58,3:35.11,1096
11.49,13.41,23.40,37.44,52.82,57.54,44.97,1:34.63,3:35.23,1095
,13.42,23.41,37.46,52.85,57.57,45.00,1:34.69,3:35.35,1094
11.50,,23.42,37.48,52.88,57.60,45.02,1:34.74,3:35.47,1093
,13.43,23.43,37.50,52.90,57.64,45.05,1:34.79,3:35.59,1092
11.51,13.44,23.44,37.52,52.93,57.67,45.07,1:34.85,3:35.71,1091
,13.45,23.45,37.53,52.95,57.70,45.09,1:34.90,3:35.83,1090
11.52,,23.46,37.55,52.98,57.74,45.12,1:34.96,3:35.95,1089
,13.46,23.47,37.57,53.01,57.77,45.14,1:35.01,3:36.07,1088
11.53,13.47,23.48,37.59,53.03,57.80,45.17,1:35.06,3:36.20,1087
,13.48,23.49,37.61,53.06,57.84,45.19,1:35.12,3:36.32,1086
11.54,,23.50,37.62,53.08,57.87,45.22,1:35.17,3:36.44,1085
,13.49,23.51,37.64,53.11,57.90,45.24,1:35.23,3:36.56,1084
11.55,13.50,23.52,37.66,53.14,57.94,45.26,1:35.28,3:36.68,1083
,13.51,23.53,37.68,53.16,57.97,45.29,1:35.33,3:36.80,1082
11.56,,23.54,37.70,53.19,58.00,45.31,1:35.39,3:36.92,1081
,13.52,23.55,37.72,53.22,58.04,45.34,1:35.44,3:37.05,1080
11.57,13.53,23.56,37.73,53.24,58.07,45.36,1:35.49,3:37.17,1079
,13.54,23.57,37.75,53.27,58.10,45.39,1:35.55,3:37.29,1078
11.58,,23.58,37.77,53.29,58.14,45.41,1:35.60,3:37.41,1077
,13.55,23.59,37.79,53.32,58.17,45.44,1:35.66,3:37.53,1076
11.59,13.56,23.60,37.81,53.35,58.20,45.46,1:35.71,3:37.66,1075
,13.57,23.61,37.83,53.37,58.24,45.48,1:35.76,3:37.78,1074
,13.58,23.62,37.84,53.40,58.27,45.51,1:35.82,3:37.90,1073
11.60,,23.63,37.86,53.43,58.30,45.53,1:35.87,3:38.02,1072
,13.59,23.64,37.88,53.45,58.34,45.56,1:35.93,3:38.14,1071
11.61,13.60,23.65,37.90,53.48,58.37,45.58,1:35.98,3:38.27,1070
,13.61,23.66,37.92,53.51,58.40,45.61,1:36.04,3:38.39,1069
11.62,,23.67,37.93,53.53,58.44,45.63,1:36.09,3:38.51,1068
,13.62,23.68,37.95,53.56,58.47,45.66,1:36.14,3:38.63,1067
11.63,13.63,23.69,37.97,53.58,58.50,45.68,1:36.20,3:38.76,1066
,13.64,23.70,37.99,53.61,58.54,45.70,1:36.25,3:38.88,1065
11.64,,23.71,38.01,53.64,58.57,45.73,1:36.31,3:39.00,1064
,13.65,23.72,38.03,53.66,58.60,45.75,1:36.36,3:39.12,1063
11.65,13.66,23.73,38.04,53.69,58.64,45.78,1:36.42,3:39.25,1062
,13.67,23.74,38.06,53.72,58.67,45.80,1:36.47,3:39.37,1061
11.66,13.68,23.75,38.08,53.74,58.70,45.83,1:36.52,3:39.49,1060
,,23.76,38.10,53.77,58.74,45.85,1:36.58,3:39.62,1059
11.67,13.69,23.77,38.12,53.80,58.77,45.88,1:36.63,3:39.74,1058
,13.70,23.78,38.14,53.82,58.81,45.90,1:36.69,3:39.86,1057
