10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
32:16,49:09,52:54,1:06:19,1:10:04,1:24:17,1:42:42,2:28:47,6:56:45,1145
32:17,49:11,52:56,1:06:22,1:10:07,1:24:20,1:42:46,2:28:53,6:57:00,1144
32:18,49:13,52:58,1:06:24,1:10:09,1:24:23,1:42:50,2:28:59,6:57:16,1143
32:19,49:15,53:00,1:06:26,1:10:12,1:24:26,1:42:54,2:29:06,6:57:32,1142
32:20,49:16,53:02,1:06:29,1:10:14,1:24:29,1:42:57,2:29:12,6:57:48,1141
32:21,49:18,53:04,1:06:31,1:10:17,1:24:32,1:43:01,2:29:18,6:58:04,1140
32:22,49:20,53:06,1:06:33,1:10:19,1:24:36,1:43:05,2:29:24,6:58:20,1139
32:24,49:22,53:07,1:06:36,1:10:22,1:24:39,1:43:09,2:29:30,6:58:35,1138
32:25,49:23,53:09,1:06:38,1:10:24,1:24:42,1:43:13,2:29:36,6:58:51,1137
32:26,49:25,53:11,1:06:40,1:10:27,1:24:45,1:43:17,2:29:42,6:59:07,1136
32:27,49:27,53:13,1:06:43,1:10:29,1:24:48,1:43:21,2:29:48,6:59:23,1135
32:28,49:29,53:15,1:06:45,1:10:32,1:24:51,1:43:25,2:29:54,6:59:39,1134
32:29,49:30,53:17,1:06:48,1:10:34,1:24:54,1:43:29,2:30:00,6:59:55,1133
32:30,49:32,53:19,1:06:50,1:10:37,1:24:57,1:43:33,2:30:06,7:00:11,1132
32:31,49:34,53:20,1:06:52,1:10:39,1:25:00,1:43:37,2:30:12,7:00:27,1131
32:33,49:35,53:22,1:06:55,1:10:42,1:25:04,1:43:41,2:30:18,7:00:42,1130
32:34,49:37,53:24,1:06:57,1:10:44,1:25:07,1:43:45,2:30:25,7:00:58,1129
32:35,49:39,53:26,1:06:59,1:10:47,1:25:10,1:43:49,2:30:31,7:01:14,1128
